"","type","cv_r","vehicle_double_time","tv0","method","n_sim","n","tgi_c","t","rp_a","rp_c","irt_a","irt_c","Power"
"1","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.75,30,0.1,0.1,10,10,0.07
"2","AUC",0.05,7,200,"Bliss",100,2,0.75,30,0.1,0.1,10,10,0.2
"3","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.75,30,0.1,0.1,10,10,0.08
"4","AUC",0.05,7,200,"Bliss",100,3,0.75,30,0.1,0.1,10,10,0.13
"5","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.75,30,0.1,0.1,10,10,0.07
"6","AUC",0.05,7,200,"Bliss",100,4,0.75,30,0.1,0.1,10,10,0.16
"7","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.75,30,0.1,0.1,10,10,0.06
"8","AUC",0.05,7,200,"Bliss",100,5,0.75,30,0.1,0.1,10,10,0.14
"9","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.75,30,0.1,0.1,10,10,0.05
"10","AUC",0.05,7,200,"Bliss",100,6,0.75,30,0.1,0.1,10,10,0.23
"11","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.75,30,0.1,0.1,10,10,0.07
"12","AUC",0.05,7,200,"Bliss",100,7,0.75,30,0.1,0.1,10,10,0.14
"13","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.75,30,0.1,0.1,10,10,0.01
"14","AUC",0.05,7,200,"Bliss",100,8,0.75,30,0.1,0.1,10,10,0.2
"15","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.75,30,0.1,0.1,10,10,0.05
"16","AUC",0.05,7,200,"Bliss",100,9,0.75,30,0.1,0.1,10,10,0.15
"17","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.75,30,0.1,0.1,10,10,0.05
"18","AUC",0.05,7,200,"Bliss",100,10,0.75,30,0.1,0.1,10,10,0.21
"19","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.8,30,0.1,0.1,10,10,0.14
"20","AUC",0.05,7,200,"Bliss",100,2,0.8,30,0.1,0.1,10,10,0.55
"21","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.8,30,0.1,0.1,10,10,0.28
"22","AUC",0.05,7,200,"Bliss",100,3,0.8,30,0.1,0.1,10,10,0.61
"23","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.8,30,0.1,0.1,10,10,0.39
"24","AUC",0.05,7,200,"Bliss",100,4,0.8,30,0.1,0.1,10,10,0.59
"25","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.8,30,0.1,0.1,10,10,0.39
"26","AUC",0.05,7,200,"Bliss",100,5,0.8,30,0.1,0.1,10,10,0.58
"27","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.8,30,0.1,0.1,10,10,0.53
"28","AUC",0.05,7,200,"Bliss",100,6,0.8,30,0.1,0.1,10,10,0.7
"29","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.8,30,0.1,0.1,10,10,0.51
"30","AUC",0.05,7,200,"Bliss",100,7,0.8,30,0.1,0.1,10,10,0.71
"31","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.8,30,0.1,0.1,10,10,0.56
"32","AUC",0.05,7,200,"Bliss",100,8,0.8,30,0.1,0.1,10,10,0.75
"33","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.8,30,0.1,0.1,10,10,0.53
"34","AUC",0.05,7,200,"Bliss",100,9,0.8,30,0.1,0.1,10,10,0.72
"35","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.8,30,0.1,0.1,10,10,0.71
"36","AUC",0.05,7,200,"Bliss",100,10,0.8,30,0.1,0.1,10,10,0.81
"37","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.75,40,0.1,0.1,10,10,0.04
"38","AUC",0.05,7,200,"Bliss",100,2,0.75,40,0.1,0.1,10,10,0.13
"39","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.75,40,0.1,0.1,10,10,0.04
"40","AUC",0.05,7,200,"Bliss",100,3,0.75,40,0.1,0.1,10,10,0.11
"41","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.75,40,0.1,0.1,10,10,0.05
"42","AUC",0.05,7,200,"Bliss",100,4,0.75,40,0.1,0.1,10,10,0.1
"43","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.75,40,0.1,0.1,10,10,0.04
"44","AUC",0.05,7,200,"Bliss",100,5,0.75,40,0.1,0.1,10,10,0.02
"45","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.75,40,0.1,0.1,10,10,0.08
"46","AUC",0.05,7,200,"Bliss",100,6,0.75,40,0.1,0.1,10,10,0.1
"47","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.75,40,0.1,0.1,10,10,0.01
"48","AUC",0.05,7,200,"Bliss",100,7,0.75,40,0.1,0.1,10,10,0.07
"49","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.75,40,0.1,0.1,10,10,0.04
"50","AUC",0.05,7,200,"Bliss",100,8,0.75,40,0.1,0.1,10,10,0.03
"51","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.75,40,0.1,0.1,10,10,0.05
"52","AUC",0.05,7,200,"Bliss",100,9,0.75,40,0.1,0.1,10,10,0.05
"53","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.75,40,0.1,0.1,10,10,0.05
"54","AUC",0.05,7,200,"Bliss",100,10,0.75,40,0.1,0.1,10,10,0.04
"55","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.8,40,0.1,0.1,10,10,0.27
"56","AUC",0.05,7,200,"Bliss",100,2,0.8,40,0.1,0.1,10,10,0.33
"57","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.8,40,0.1,0.1,10,10,0.34
"58","AUC",0.05,7,200,"Bliss",100,3,0.8,40,0.1,0.1,10,10,0.3
"59","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.8,40,0.1,0.1,10,10,0.32
"60","AUC",0.05,7,200,"Bliss",100,4,0.8,40,0.1,0.1,10,10,0.39
"61","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.8,40,0.1,0.1,10,10,0.36
"62","AUC",0.05,7,200,"Bliss",100,5,0.8,40,0.1,0.1,10,10,0.34
"63","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.8,40,0.1,0.1,10,10,0.51
"64","AUC",0.05,7,200,"Bliss",100,6,0.8,40,0.1,0.1,10,10,0.46
"65","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.8,40,0.1,0.1,10,10,0.46
"66","AUC",0.05,7,200,"Bliss",100,7,0.8,40,0.1,0.1,10,10,0.41
"67","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.8,40,0.1,0.1,10,10,0.56
"68","AUC",0.05,7,200,"Bliss",100,8,0.8,40,0.1,0.1,10,10,0.49
"69","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.8,40,0.1,0.1,10,10,0.63
"70","AUC",0.05,7,200,"Bliss",100,9,0.8,40,0.1,0.1,10,10,0.43
"71","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.8,40,0.1,0.1,10,10,0.65
"72","AUC",0.05,7,200,"Bliss",100,10,0.8,40,0.1,0.1,10,10,0.48
"73","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.75,50,0.1,0.1,10,10,0.06
"74","AUC",0.05,7,200,"Bliss",100,2,0.75,50,0.1,0.1,10,10,0.05
"75","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.75,50,0.1,0.1,10,10,0.06
"76","AUC",0.05,7,200,"Bliss",100,3,0.75,50,0.1,0.1,10,10,0.04
"77","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.75,50,0.1,0.1,10,10,0.07
"78","AUC",0.05,7,200,"Bliss",100,4,0.75,50,0.1,0.1,10,10,0.05
"79","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.75,50,0.1,0.1,10,10,0.06
"80","AUC",0.05,7,200,"Bliss",100,5,0.75,50,0.1,0.1,10,10,0.04
"81","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.75,50,0.1,0.1,10,10,0.05
"82","AUC",0.05,7,200,"Bliss",100,6,0.75,50,0.1,0.1,10,10,0
"83","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.75,50,0.1,0.1,10,10,0.05
"84","AUC",0.05,7,200,"Bliss",100,7,0.75,50,0.1,0.1,10,10,0.03
"85","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.75,50,0.1,0.1,10,10,0.08
"86","AUC",0.05,7,200,"Bliss",100,8,0.75,50,0.1,0.1,10,10,0.01
"87","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.75,50,0.1,0.1,10,10,0.06
"88","AUC",0.05,7,200,"Bliss",100,9,0.75,50,0.1,0.1,10,10,0
"89","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.75,50,0.1,0.1,10,10,0.1
"90","AUC",0.05,7,200,"Bliss",100,10,0.75,50,0.1,0.1,10,10,0.01
"91","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.8,50,0.1,0.1,10,10,0.25
"92","AUC",0.05,7,200,"Bliss",100,2,0.8,50,0.1,0.1,10,10,0.26
"93","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.8,50,0.1,0.1,10,10,0.24
"94","AUC",0.05,7,200,"Bliss",100,3,0.8,50,0.1,0.1,10,10,0.17
"95","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.8,50,0.1,0.1,10,10,0.37
"96","AUC",0.05,7,200,"Bliss",100,4,0.8,50,0.1,0.1,10,10,0.16
"97","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.8,50,0.1,0.1,10,10,0.38
"98","AUC",0.05,7,200,"Bliss",100,5,0.8,50,0.1,0.1,10,10,0.14
"99","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.8,50,0.1,0.1,10,10,0.47
"100","AUC",0.05,7,200,"Bliss",100,6,0.8,50,0.1,0.1,10,10,0.21
"101","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.8,50,0.1,0.1,10,10,0.52
"102","AUC",0.05,7,200,"Bliss",100,7,0.8,50,0.1,0.1,10,10,0.23
"103","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.8,50,0.1,0.1,10,10,0.61
"104","AUC",0.05,7,200,"Bliss",100,8,0.8,50,0.1,0.1,10,10,0.22
"105","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.8,50,0.1,0.1,10,10,0.61
"106","AUC",0.05,7,200,"Bliss",100,9,0.8,50,0.1,0.1,10,10,0.23
"107","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.8,50,0.1,0.1,10,10,0.65
"108","AUC",0.05,7,200,"Bliss",100,10,0.8,50,0.1,0.1,10,10,0.24
"109","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.75,60,0.1,0.1,10,10,0.03
"110","AUC",0.05,7,200,"Bliss",100,2,0.75,60,0.1,0.1,10,10,0.05
"111","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.75,60,0.1,0.1,10,10,0.09
"112","AUC",0.05,7,200,"Bliss",100,3,0.75,60,0.1,0.1,10,10,0.04
"113","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.75,60,0.1,0.1,10,10,0.03
"114","AUC",0.05,7,200,"Bliss",100,4,0.75,60,0.1,0.1,10,10,0.04
"115","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.75,60,0.1,0.1,10,10,0.05
"116","AUC",0.05,7,200,"Bliss",100,5,0.75,60,0.1,0.1,10,10,0.01
"117","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.75,60,0.1,0.1,10,10,0.02
"118","AUC",0.05,7,200,"Bliss",100,6,0.75,60,0.1,0.1,10,10,0.03
"119","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.75,60,0.1,0.1,10,10,0.07
"120","AUC",0.05,7,200,"Bliss",100,7,0.75,60,0.1,0.1,10,10,0.02
"121","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.75,60,0.1,0.1,10,10,0.06
"122","AUC",0.05,7,200,"Bliss",100,8,0.75,60,0.1,0.1,10,10,0
"123","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.75,60,0.1,0.1,10,10,0.05
"124","AUC",0.05,7,200,"Bliss",100,9,0.75,60,0.1,0.1,10,10,0
"125","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.75,60,0.1,0.1,10,10,0.07
"126","AUC",0.05,7,200,"Bliss",100,10,0.75,60,0.1,0.1,10,10,0
"127","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.8,60,0.1,0.1,10,10,0.32
"128","AUC",0.05,7,200,"Bliss",100,2,0.8,60,0.1,0.1,10,10,0.29
"129","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.8,60,0.1,0.1,10,10,0.33
"130","AUC",0.05,7,200,"Bliss",100,3,0.8,60,0.1,0.1,10,10,0.25
"131","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.8,60,0.1,0.1,10,10,0.43
"132","AUC",0.05,7,200,"Bliss",100,4,0.8,60,0.1,0.1,10,10,0.14
"133","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.8,60,0.1,0.1,10,10,0.4
"134","AUC",0.05,7,200,"Bliss",100,5,0.8,60,0.1,0.1,10,10,0.19
"135","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.8,60,0.1,0.1,10,10,0.41
"136","AUC",0.05,7,200,"Bliss",100,6,0.8,60,0.1,0.1,10,10,0.22
"137","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.8,60,0.1,0.1,10,10,0.51
"138","AUC",0.05,7,200,"Bliss",100,7,0.8,60,0.1,0.1,10,10,0.16
"139","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.8,60,0.1,0.1,10,10,0.56
"140","AUC",0.05,7,200,"Bliss",100,8,0.8,60,0.1,0.1,10,10,0.15
"141","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.8,60,0.1,0.1,10,10,0.56
"142","AUC",0.05,7,200,"Bliss",100,9,0.8,60,0.1,0.1,10,10,0.14
"143","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.8,60,0.1,0.1,10,10,0.69
"144","AUC",0.05,7,200,"Bliss",100,10,0.8,60,0.1,0.1,10,10,0.12
