"","type","vehicle_double_time","tv0","method","eu_tv","n_sim","n","tgi_c","Power"
"1","CombPDX_CI",5,150,"Bliss",500,100,2,0.7,0.06
"2","AUC",5,150,"Bliss",500,100,2,0.7,0.28
"3","CombPDX_CI",5,150,"Bliss",1000,100,2,0.7,0.06
"4","AUC",5,150,"Bliss",1000,100,2,0.7,0.11
"5","CombPDX_CI",5,150,"Bliss",1500,100,2,0.7,0.08
"6","AUC",5,150,"Bliss",1500,100,2,0.7,0.23
"7","CombPDX_CI",5,150,"Bliss",2000,100,2,0.7,0.08
"8","AUC",5,150,"Bliss",2000,100,2,0.7,0.2
"9","CombPDX_CI",5,150,"Bliss",2500,100,2,0.7,0.08
"10","AUC",5,150,"Bliss",2500,100,2,0.7,0.15
"11","CombPDX_CI",5,150,"Bliss",500,100,3,0.7,0.08
"12","AUC",5,150,"Bliss",500,100,3,0.7,0.15
"13","CombPDX_CI",5,150,"Bliss",1000,100,3,0.7,0.1
"14","AUC",5,150,"Bliss",1000,100,3,0.7,0.16
"15","CombPDX_CI",5,150,"Bliss",1500,100,3,0.7,0.09
"16","AUC",5,150,"Bliss",1500,100,3,0.7,0.2
"17","CombPDX_CI",5,150,"Bliss",2000,100,3,0.7,0.04
"18","AUC",5,150,"Bliss",2000,100,3,0.7,0.11
"19","CombPDX_CI",5,150,"Bliss",2500,100,3,0.7,0.06
"20","AUC",5,150,"Bliss",2500,100,3,0.7,0.15
"21","CombPDX_CI",5,150,"Bliss",500,100,4,0.7,0.05
"22","AUC",5,150,"Bliss",500,100,4,0.7,0.17
"23","CombPDX_CI",5,150,"Bliss",1000,100,4,0.7,0.06
"24","AUC",5,150,"Bliss",1000,100,4,0.7,0.11
"25","CombPDX_CI",5,150,"Bliss",1500,100,4,0.7,0.09
"26","AUC",5,150,"Bliss",1500,100,4,0.7,0.09
"27","CombPDX_CI",5,150,"Bliss",2000,100,4,0.7,0.06
"28","AUC",5,150,"Bliss",2000,100,4,0.7,0.07
"29","CombPDX_CI",5,150,"Bliss",2500,100,4,0.7,0.05
"30","AUC",5,150,"Bliss",2500,100,4,0.7,0.14
"31","CombPDX_CI",5,150,"Bliss",500,100,5,0.7,0.05
"32","AUC",5,150,"Bliss",500,100,5,0.7,0.15
"33","CombPDX_CI",5,150,"Bliss",1000,100,5,0.7,0.04
"34","AUC",5,150,"Bliss",1000,100,5,0.7,0.15
"35","CombPDX_CI",5,150,"Bliss",1500,100,5,0.7,0.03
"36","AUC",5,150,"Bliss",1500,100,5,0.7,0.09
"37","CombPDX_CI",5,150,"Bliss",2000,100,5,0.7,0.1
"38","AUC",5,150,"Bliss",2000,100,5,0.7,0.13
"39","CombPDX_CI",5,150,"Bliss",2500,100,5,0.7,0.08
"40","AUC",5,150,"Bliss",2500,100,5,0.7,0.13
"41","CombPDX_CI",5,150,"Bliss",500,100,6,0.7,0.08
"42","AUC",5,150,"Bliss",500,100,6,0.7,0.14
"43","CombPDX_CI",5,150,"Bliss",1000,100,6,0.7,0.09
"44","AUC",5,150,"Bliss",1000,100,6,0.7,0.17
"45","CombPDX_CI",5,150,"Bliss",1500,100,6,0.7,0.13
"46","AUC",5,150,"Bliss",1500,100,6,0.7,0.12
"47","CombPDX_CI",5,150,"Bliss",2000,100,6,0.7,0.05
"48","AUC",5,150,"Bliss",2000,100,6,0.7,0.13
"49","CombPDX_CI",5,150,"Bliss",2500,100,6,0.7,0.1
"50","AUC",5,150,"Bliss",2500,100,6,0.7,0.09
"51","CombPDX_CI",5,150,"Bliss",500,100,7,0.7,0.06
"52","AUC",5,150,"Bliss",500,100,7,0.7,0.09
"53","CombPDX_CI",5,150,"Bliss",1000,100,7,0.7,0.05
"54","AUC",5,150,"Bliss",1000,100,7,0.7,0.12
"55","CombPDX_CI",5,150,"Bliss",1500,100,7,0.7,0.06
"56","AUC",5,150,"Bliss",1500,100,7,0.7,0.1
"57","CombPDX_CI",5,150,"Bliss",2000,100,7,0.7,0.06
"58","AUC",5,150,"Bliss",2000,100,7,0.7,0.08
"59","CombPDX_CI",5,150,"Bliss",2500,100,7,0.7,0.1
"60","AUC",5,150,"Bliss",2500,100,7,0.7,0.1
"61","CombPDX_CI",5,150,"Bliss",500,100,8,0.7,0.05
"62","AUC",5,150,"Bliss",500,100,8,0.7,0.08
"63","CombPDX_CI",5,150,"Bliss",1000,100,8,0.7,0.06
"64","AUC",5,150,"Bliss",1000,100,8,0.7,0.13
"65","CombPDX_CI",5,150,"Bliss",1500,100,8,0.7,0.07
"66","AUC",5,150,"Bliss",1500,100,8,0.7,0.08
"67","CombPDX_CI",5,150,"Bliss",2000,100,8,0.7,0.07
"68","AUC",5,150,"Bliss",2000,100,8,0.7,0.11
"69","CombPDX_CI",5,150,"Bliss",2500,100,8,0.7,0.06
"70","AUC",5,150,"Bliss",2500,100,8,0.7,0.08
"71","CombPDX_CI",5,150,"Bliss",500,100,9,0.7,0.05
"72","AUC",5,150,"Bliss",500,100,9,0.7,0.05
"73","CombPDX_CI",5,150,"Bliss",1000,100,9,0.7,0.03
"74","AUC",5,150,"Bliss",1000,100,9,0.7,0.09
"75","CombPDX_CI",5,150,"Bliss",1500,100,9,0.7,0.07
"76","AUC",5,150,"Bliss",1500,100,9,0.7,0.12
"77","CombPDX_CI",5,150,"Bliss",2000,100,9,0.7,0.1
"78","AUC",5,150,"Bliss",2000,100,9,0.7,0.1
"79","CombPDX_CI",5,150,"Bliss",2500,100,9,0.7,0.07
"80","AUC",5,150,"Bliss",2500,100,9,0.7,0.14
"81","CombPDX_CI",5,150,"Bliss",500,100,10,0.7,0.02
"82","AUC",5,150,"Bliss",500,100,10,0.7,0.17
"83","CombPDX_CI",5,150,"Bliss",1000,100,10,0.7,0.08
"84","AUC",5,150,"Bliss",1000,100,10,0.7,0.11
"85","CombPDX_CI",5,150,"Bliss",1500,100,10,0.7,0.05
"86","AUC",5,150,"Bliss",1500,100,10,0.7,0.12
"87","CombPDX_CI",5,150,"Bliss",2000,100,10,0.7,0.11
"88","AUC",5,150,"Bliss",2000,100,10,0.7,0.12
"89","CombPDX_CI",5,150,"Bliss",2500,100,10,0.7,0.14
"90","AUC",5,150,"Bliss",2500,100,10,0.7,0.13
"91","CombPDX_CI",5,150,"Bliss",500,100,2,0.75,0.24
"92","AUC",5,150,"Bliss",500,100,2,0.75,0.38
"93","CombPDX_CI",5,150,"Bliss",1000,100,2,0.75,0.19
"94","AUC",5,150,"Bliss",1000,100,2,0.75,0.62
"95","CombPDX_CI",5,150,"Bliss",1500,100,2,0.75,0.27
"96","AUC",5,150,"Bliss",1500,100,2,0.75,0.38
"97","CombPDX_CI",5,150,"Bliss",2000,100,2,0.75,0.3
"98","AUC",5,150,"Bliss",2000,100,2,0.75,0.55
"99","CombPDX_CI",5,150,"Bliss",2500,100,2,0.75,0.28
"100","AUC",5,150,"Bliss",2500,100,2,0.75,0.59
"101","CombPDX_CI",5,150,"Bliss",500,100,3,0.75,0.34
"102","AUC",5,150,"Bliss",500,100,3,0.75,0.46
"103","CombPDX_CI",5,150,"Bliss",1000,100,3,0.75,0.32
"104","AUC",5,150,"Bliss",1000,100,3,0.75,0.39
"105","CombPDX_CI",5,150,"Bliss",1500,100,3,0.75,0.28
"106","AUC",5,150,"Bliss",1500,100,3,0.75,0.44
"107","CombPDX_CI",5,150,"Bliss",2000,100,3,0.75,0.36
"108","AUC",5,150,"Bliss",2000,100,3,0.75,0.5
"109","CombPDX_CI",5,150,"Bliss",2500,100,3,0.75,0.39
"110","AUC",5,150,"Bliss",2500,100,3,0.75,0.45
"111","CombPDX_CI",5,150,"Bliss",500,100,4,0.75,0.41
"112","AUC",5,150,"Bliss",500,100,4,0.75,0.33
"113","CombPDX_CI",5,150,"Bliss",1000,100,4,0.75,0.36
"114","AUC",5,150,"Bliss",1000,100,4,0.75,0.55
"115","CombPDX_CI",5,150,"Bliss",1500,100,4,0.75,0.36
"116","AUC",5,150,"Bliss",1500,100,4,0.75,0.48
"117","CombPDX_CI",5,150,"Bliss",2000,100,4,0.75,0.29
"118","AUC",5,150,"Bliss",2000,100,4,0.75,0.45
"119","CombPDX_CI",5,150,"Bliss",2500,100,4,0.75,0.38
"120","AUC",5,150,"Bliss",2500,100,4,0.75,0.49
"121","CombPDX_CI",5,150,"Bliss",500,100,5,0.75,0.4
"122","AUC",5,150,"Bliss",500,100,5,0.75,0.44
"123","CombPDX_CI",5,150,"Bliss",1000,100,5,0.75,0.37
"124","AUC",5,150,"Bliss",1000,100,5,0.75,0.58
"125","CombPDX_CI",5,150,"Bliss",1500,100,5,0.75,0.45
"126","AUC",5,150,"Bliss",1500,100,5,0.75,0.57
"127","CombPDX_CI",5,150,"Bliss",2000,100,5,0.75,0.46
"128","AUC",5,150,"Bliss",2000,100,5,0.75,0.56
"129","CombPDX_CI",5,150,"Bliss",2500,100,5,0.75,0.49
"130","AUC",5,150,"Bliss",2500,100,5,0.75,0.53
"131","CombPDX_CI",5,150,"Bliss",500,100,6,0.75,0.33
"132","AUC",5,150,"Bliss",500,100,6,0.75,0.59
"133","CombPDX_CI",5,150,"Bliss",1000,100,6,0.75,0.44
"134","AUC",5,150,"Bliss",1000,100,6,0.75,0.64
"135","CombPDX_CI",5,150,"Bliss",1500,100,6,0.75,0.53
"136","AUC",5,150,"Bliss",1500,100,6,0.75,0.62
"137","CombPDX_CI",5,150,"Bliss",2000,100,6,0.75,0.51
"138","AUC",5,150,"Bliss",2000,100,6,0.75,0.56
"139","CombPDX_CI",5,150,"Bliss",2500,100,6,0.75,0.46
"140","AUC",5,150,"Bliss",2500,100,6,0.75,0.63
"141","CombPDX_CI",5,150,"Bliss",500,100,7,0.75,0.54
"142","AUC",5,150,"Bliss",500,100,7,0.75,0.62
"143","CombPDX_CI",5,150,"Bliss",1000,100,7,0.75,0.57
"144","AUC",5,150,"Bliss",1000,100,7,0.75,0.56
"145","CombPDX_CI",5,150,"Bliss",1500,100,7,0.75,0.58
"146","AUC",5,150,"Bliss",1500,100,7,0.75,0.59
"147","CombPDX_CI",5,150,"Bliss",2000,100,7,0.75,0.46
"148","AUC",5,150,"Bliss",2000,100,7,0.75,0.57
"149","CombPDX_CI",5,150,"Bliss",2500,100,7,0.75,0.51
"150","AUC",5,150,"Bliss",2500,100,7,0.75,0.59
"151","CombPDX_CI",5,150,"Bliss",500,100,8,0.75,0.48
"152","AUC",5,150,"Bliss",500,100,8,0.75,0.66
"153","CombPDX_CI",5,150,"Bliss",1000,100,8,0.75,0.59
"154","AUC",5,150,"Bliss",1000,100,8,0.75,0.65
"155","CombPDX_CI",5,150,"Bliss",1500,100,8,0.75,0.45
"156","AUC",5,150,"Bliss",1500,100,8,0.75,0.65
"157","CombPDX_CI",5,150,"Bliss",2000,100,8,0.75,0.51
"158","AUC",5,150,"Bliss",2000,100,8,0.75,0.64
"159","CombPDX_CI",5,150,"Bliss",2500,100,8,0.75,0.64
"160","AUC",5,150,"Bliss",2500,100,8,0.75,0.56
"161","CombPDX_CI",5,150,"Bliss",500,100,9,0.75,0.51
"162","AUC",5,150,"Bliss",500,100,9,0.75,0.66
"163","CombPDX_CI",5,150,"Bliss",1000,100,9,0.75,0.61
"164","AUC",5,150,"Bliss",1000,100,9,0.75,0.69
"165","CombPDX_CI",5,150,"Bliss",1500,100,9,0.75,0.66
"166","AUC",5,150,"Bliss",1500,100,9,0.75,0.65
"167","CombPDX_CI",5,150,"Bliss",2000,100,9,0.75,0.67
"168","AUC",5,150,"Bliss",2000,100,9,0.75,0.6
"169","CombPDX_CI",5,150,"Bliss",2500,100,9,0.75,0.63
"170","AUC",5,150,"Bliss",2500,100,9,0.75,0.68
"171","CombPDX_CI",5,150,"Bliss",500,100,10,0.75,0.6
"172","AUC",5,150,"Bliss",500,100,10,0.75,0.76
"173","CombPDX_CI",5,150,"Bliss",1000,100,10,0.75,0.61
"174","AUC",5,150,"Bliss",1000,100,10,0.75,0.64
"175","CombPDX_CI",5,150,"Bliss",1500,100,10,0.75,0.69
"176","AUC",5,150,"Bliss",1500,100,10,0.75,0.78
"177","CombPDX_CI",5,150,"Bliss",2000,100,10,0.75,0.7
"178","AUC",5,150,"Bliss",2000,100,10,0.75,0.72
"179","CombPDX_CI",5,150,"Bliss",2500,100,10,0.75,0.67
"180","AUC",5,150,"Bliss",2500,100,10,0.75,0.7
"181","CombPDX_CI",5,150,"Bliss",500,100,2,0.8,0.55
"182","AUC",5,150,"Bliss",500,100,2,0.8,0.81
"183","CombPDX_CI",5,150,"Bliss",1000,100,2,0.8,0.61
"184","AUC",5,150,"Bliss",1000,100,2,0.8,0.78
"185","CombPDX_CI",5,150,"Bliss",1500,100,2,0.8,0.57
"186","AUC",5,150,"Bliss",1500,100,2,0.8,0.79
"187","CombPDX_CI",5,150,"Bliss",2000,100,2,0.8,0.61
"188","AUC",5,150,"Bliss",2000,100,2,0.8,0.81
"189","CombPDX_CI",5,150,"Bliss",2500,100,2,0.8,0.59
"190","AUC",5,150,"Bliss",2500,100,2,0.8,0.79
"191","CombPDX_CI",5,150,"Bliss",500,100,3,0.8,0.72
"192","AUC",5,150,"Bliss",500,100,3,0.8,0.83
"193","CombPDX_CI",5,150,"Bliss",1000,100,3,0.8,0.84
"194","AUC",5,150,"Bliss",1000,100,3,0.8,0.86
"195","CombPDX_CI",5,150,"Bliss",1500,100,3,0.8,0.74
"196","AUC",5,150,"Bliss",1500,100,3,0.8,0.84
"197","CombPDX_CI",5,150,"Bliss",2000,100,3,0.8,0.84
"198","AUC",5,150,"Bliss",2000,100,3,0.8,0.82
"199","CombPDX_CI",5,150,"Bliss",2500,100,3,0.8,0.8
"200","AUC",5,150,"Bliss",2500,100,3,0.8,0.79
"201","CombPDX_CI",5,150,"Bliss",500,100,4,0.8,0.8
"202","AUC",5,150,"Bliss",500,100,4,0.8,0.83
"203","CombPDX_CI",5,150,"Bliss",1000,100,4,0.8,0.86
"204","AUC",5,150,"Bliss",1000,100,4,0.8,0.91
"205","CombPDX_CI",5,150,"Bliss",1500,100,4,0.8,0.84
"206","AUC",5,150,"Bliss",1500,100,4,0.8,0.88
"207","CombPDX_CI",5,150,"Bliss",2000,100,4,0.8,0.88
"208","AUC",5,150,"Bliss",2000,100,4,0.8,0.88
"209","CombPDX_CI",5,150,"Bliss",2500,100,4,0.8,0.88
"210","AUC",5,150,"Bliss",2500,100,4,0.8,0.86
"211","CombPDX_CI",5,150,"Bliss",500,100,5,0.8,0.93
"212","AUC",5,150,"Bliss",500,100,5,0.8,0.91
"213","CombPDX_CI",5,150,"Bliss",1000,100,5,0.8,0.92
"214","AUC",5,150,"Bliss",1000,100,5,0.8,0.96
"215","CombPDX_CI",5,150,"Bliss",1500,100,5,0.8,0.91
"216","AUC",5,150,"Bliss",1500,100,5,0.8,0.88
"217","CombPDX_CI",5,150,"Bliss",2000,100,5,0.8,0.96
"218","AUC",5,150,"Bliss",2000,100,5,0.8,0.95
"219","CombPDX_CI",5,150,"Bliss",2500,100,5,0.8,0.92
"220","AUC",5,150,"Bliss",2500,100,5,0.8,0.92
"221","CombPDX_CI",5,150,"Bliss",500,100,6,0.8,0.93
"222","AUC",5,150,"Bliss",500,100,6,0.8,0.92
"223","CombPDX_CI",5,150,"Bliss",1000,100,6,0.8,0.98
"224","AUC",5,150,"Bliss",1000,100,6,0.8,0.95
"225","CombPDX_CI",5,150,"Bliss",1500,100,6,0.8,0.97
"226","AUC",5,150,"Bliss",1500,100,6,0.8,0.98
"227","CombPDX_CI",5,150,"Bliss",2000,100,6,0.8,0.98
"228","AUC",5,150,"Bliss",2000,100,6,0.8,0.95
"229","CombPDX_CI",5,150,"Bliss",2500,100,6,0.8,0.97
"230","AUC",5,150,"Bliss",2500,100,6,0.8,0.96
"231","CombPDX_CI",5,150,"Bliss",500,100,7,0.8,0.96
"232","AUC",5,150,"Bliss",500,100,7,0.8,0.97
"233","CombPDX_CI",5,150,"Bliss",1000,100,7,0.8,0.98
"234","AUC",5,150,"Bliss",1000,100,7,0.8,0.96
"235","CombPDX_CI",5,150,"Bliss",1500,100,7,0.8,0.98
"236","AUC",5,150,"Bliss",1500,100,7,0.8,0.98
"237","CombPDX_CI",5,150,"Bliss",2000,100,7,0.8,0.96
"238","AUC",5,150,"Bliss",2000,100,7,0.8,0.99
"239","CombPDX_CI",5,150,"Bliss",2500,100,7,0.8,0.98
"240","AUC",5,150,"Bliss",2500,100,7,0.8,0.97
"241","CombPDX_CI",5,150,"Bliss",500,100,8,0.8,0.97
"242","AUC",5,150,"Bliss",500,100,8,0.8,0.99
"243","CombPDX_CI",5,150,"Bliss",1000,100,8,0.8,1
"244","AUC",5,150,"Bliss",1000,100,8,0.8,0.99
"245","CombPDX_CI",5,150,"Bliss",1500,100,8,0.8,0.98
"246","AUC",5,150,"Bliss",1500,100,8,0.8,1
"247","CombPDX_CI",5,150,"Bliss",2000,100,8,0.8,1
"248","AUC",5,150,"Bliss",2000,100,8,0.8,0.95
"249","CombPDX_CI",5,150,"Bliss",2500,100,8,0.8,1
"250","AUC",5,150,"Bliss",2500,100,8,0.8,1
"251","CombPDX_CI",5,150,"Bliss",500,100,9,0.8,0.99
"252","AUC",5,150,"Bliss",500,100,9,0.8,1
"253","CombPDX_CI",5,150,"Bliss",1000,100,9,0.8,0.99
"254","AUC",5,150,"Bliss",1000,100,9,0.8,0.99
"255","CombPDX_CI",5,150,"Bliss",1500,100,9,0.8,0.99
"256","AUC",5,150,"Bliss",1500,100,9,0.8,1
"257","CombPDX_CI",5,150,"Bliss",2000,100,9,0.8,0.99
"258","AUC",5,150,"Bliss",2000,100,9,0.8,1
"259","CombPDX_CI",5,150,"Bliss",2500,100,9,0.8,1
"260","AUC",5,150,"Bliss",2500,100,9,0.8,0.99
"261","CombPDX_CI",5,150,"Bliss",500,100,10,0.8,0.99
"262","AUC",5,150,"Bliss",500,100,10,0.8,0.99
"263","CombPDX_CI",5,150,"Bliss",1000,100,10,0.8,1
"264","AUC",5,150,"Bliss",1000,100,10,0.8,0.98
"265","CombPDX_CI",5,150,"Bliss",1500,100,10,0.8,0.99
"266","AUC",5,150,"Bliss",1500,100,10,0.8,0.99
"267","CombPDX_CI",5,150,"Bliss",2000,100,10,0.8,1
"268","AUC",5,150,"Bliss",2000,100,10,0.8,1
"269","CombPDX_CI",5,150,"Bliss",2500,100,10,0.8,1
"270","AUC",5,150,"Bliss",2500,100,10,0.8,1
